Sr No.,Player me,Team Code,Age,Player Height,Player_Weight,country,draft_year,draft_round,draft_number,pts,net_rating
87,Lawrence Moten,VAN,25,195.58,86.18248,USA,1995,2,36,6.7,-10.6
88,Latrell Sprewell,GSW,26,195.58,86.18248,USA,1992,1,24,24.2,-3.3
89,Larry Stewart,SEA,28,203.2,104.32616,USA,,,,4.3,5.8
90,Larry Krystkowiak,LAL,32,205.74,99.79024,USA,1986,2,28,1,13.9
91,Larry Johnson,NYK,28,200.66,119.294696,USA,1991,1,1,12.8,4.7
92,Lamond Murray,LAC,24,200.66,107.047712,USA,1994,1,7,7.4,-1.4
93,LaSalle Thompson,IND,36,208.28,111.13004,USA,1982,1,5,0.4,-12.8
94,Loren Meyer,PHX,24,208.28,117.93392,USA,1995,1,24,4.9,-6.7
95,LaPhonso Ellis,DEN,27,203.2,108.86208,USA,1992,1,5,21.9,-5.9
96,Kobe Bryant,LAL,18,200.66,90.7184,USA,1996,1,13,7.6,2.2
97,Khalid Reeves,DAL,24,190.5,91.171992,USA,1994,1,12,8.2,-9.7
98,Kevin Willis,HOU,34,213.36,111.13004,USA,1984,1,11,11.2,0.9
99,Kevin Salvadori,SAC,26,213.36,104.779752,USA,,,,1.6,3.5
100,Kevin Johnson,PHX,31,185.42,86.18248,USA,1987,1,7,20.1,2.9
101,Kevin Garnett,MIN,21,210.82,99.79024,USA,1995,1,5,17,2.8
102,Kevin Gamble,SAC,31,195.58,95.25432,USA,1987,3,63,5,-5.6
103,Kevin Edwards,NJN,31,190.5,95.25432,USA,1988,1,20,5.9,-10.1
104,Kevin Duckworth,LAC,33,213.36,136.0776,USA,1986,2,33,4,-19.5
105,Kerry Kittles,NJN,23,195.58,81.192968,USA,1996,1,8,16.4,-5.2
106,Kenny Smith,DEN,32,190.5,77.11064,USA,1987,1,6,6.3,-14.2
107,Kurt Thomas,MIA,24,205.74,106.59412,USA,1995,1,10,6.3,-0.8
108,Popeye Jones,TOR,27,203.2,113.398,USA,1992,2,41,7.8,-2.8
109,Priest Lauderdale,ATL,23,223.52,155.582056,USA,1996,1,28,3.2,-4
110,Rafael Addison,CHH,32,203.2,109.315672,USA,1986,2,39,3.1,-4
111,Wayman Tisdale,PHX,33,205.74,117.93392,USA,1985,1,2,6.5,-3.5
112,Walter McCarty,NYK,23,208.28,104.32616,USA,1996,1,19,1.8,3.2
113,Walt Williams,TOR,27,203.2,104.32616,USA,1992,1,7,16.4,-1.7
114,Voshon Lerd,MIA,24,193.04,92.98636,USA,1994,2,46,12.3,8.2
115,Vlade Divac,CHH,29,215.9,117.93392,Serbia and Montenegro,1989,1,26,12.6,5.4
116,Vitaly Potapenko,CLE,22,208.28,127.00576,Ukraine,1996,1,12,5.8,-0.2
117,Vinny Del Negro,SAS,30,193.04,90.7184,USA,1988,2,29,12.3,-8.1
118,Vincent Askew,DEN,31,198.12,106.59412,USA,1987,2,39,5.6,0
119,Vin Baker,MIL,25,210.82,111.13004,USA,1993,1,8,21,-1.6
120,Vernon Maxwell,SAS,31,193.04,86.18248,USA,1988,2,47,12.9,-7
121,Tyus Edney,SAC,24,177.8,68.945984,USA,1995,2,47,6.9,-2
122,Tyrone Hill,CLE,29,205.74,111.13004,USA,1990,1,11,12.9,5.3
123,Terry Cummings,SEA,36,205.74,113.398,USA,1982,1,2,8.2,1.3
124,Terrell Brandon,CLE,27,180.34,81.64656,USA,1991,1,11,19.5,2.7
125,Stojko Vrankovic,MIN,33,218.44,117.93392,USA,,,,3.4,-7.1
126,Stevin Smith,DAL,25,187.96,94.347136,USA,,,,1.8,-6.8
127,Steven Smith,ATL,28,203.2,97.52228,USA,1991,1,5,20.1,7.4
128,Steve Scheffler,SEA,29,205.74,113.398,USA,1990,2,39,1.6,-19.9
129,Steve sh,PHX,23,190.5,88.45044,Cada,1996,1,15,3.3,-8.5
130,Steve Kerr,CHI,31,190.5,81.64656,USA,1988,2,50,8.1,10.1
131,Steve Hamer,BOS,23,213.36,111.13004,USA,1996,2,38,2.2,-3.1
132,Stephon Marbury,MIN,20,187.96,81.64656,USA,1996,1,4,15.8,-3.1
133,Stephen Howard,UTA,26,205.74,111.13004,USA,,,,3.6,0.1
134,Wesley Person,PHX,26,198.12,88.45044,USA,1994,1,23,13.5,0.7
135,Will Perdue,SAS,31,213.36,108.86208,USA,1988,1,11,8.7,-4.7
136,Willie Anderson,MIA,30,203.2,90.7184,USA,1988,1,10,3,-1
137,Willie Burton,ATL,29,203.2,95.25432,USA,1990,1,9,6.2,-4.8
138,Tyrone Corbin,ATL,34,198.12,102.0582,USA,1985,2,35,9.5,10.5
139,Terry Dehere,LAC,25,193.04,86.18248,USA,1993,1,13,6.4,-0.5
140,Terry Mills,DET,29,,113.398,USA,1990,1,16,10.8,11.4
141,Terry Porter,MIN,34,190.5,88.45044,USA,1985,1,24,6.9,2.1
142,Theo Ratliff,DET,24,208.28,102.0582,USA,1995,1,18,5.8,7.3
143,Tim Hardaway,MIA,30,182.88,88.45044,USA,1989,1,14,20.3,8.9
144,Tim Kempton,SAS,33,208.28,111.13004,USA,1986,6,124,0.4,-6.2
145,Tim Legler,WAS,30,193.04,90.7184,USA,,,,2.9,-3.5
146,Todd Day,BOS,27,198.12,85.275296,USA,1992,1,8,14.5,-7.8
147,Todd Fuller,GSW,22,210.82,115.66596,USA,1996,1,11,4,-8.6
148,Tom Chambers,CHH,38,208.28,99.79024,USA,1981,1,8,1.6,-33.6
149,Stanley Roberts,LAC,27,213.36,131.54168,USA,1991,1,23,9.5,2.6
150,Tom Gugliotta,MIN,27,208.28,108.86208,USA,1992,1,6,20.6,-2
151,Toni Kukoc,CHI,28,210.82,105.233344,Croatia,1990,2,29,13.2,15.2
152,Tony Delk,CHH,23,187.96,85.728888,USA,1996,1,16,5.4,0.9
153,Tony Dumas,PHX,24,198.12,86.18248,USA,1994,1,19,3.6,-4.1
154,Tony Massenburg,NJN,29,205.74,113.398,USA,1990,2,43,7.2,-6.2
155,Tony Smith,CHH,29,193.04,92.98636,USA,1990,2,51,5,0.7
156,Tracy Moore,HOU,31,193.04,90.7184,USA,,,,3.7,-7.7
157,Tracy Murray,WAS,25,200.66,103.418976,USA,1992,1,18,10,1.9
158,Travis Best,IND,24,180.34,82.553744,USA,1995,1,23,9.9,2.5
159,Zan Tabak,TOR,27,213.36,111.13004,USA,1991,2,51,6.5,-12.2
160,Yinka Dare,NJN,24,213.36,120.20188,USA,1994,1,14,1.4,-1.4
161,Xavier McDaniel,NJN,34,200.66,98.883056,USA,1985,1,4,5.6,-0.8
162,Tom Hammonds,DEN,30,205.74,102.0582,USA,1989,1,9,6.2,-7.3
163,Stacey King,DAL,30,210.82,113.398,USA,1989,1,6,2.2,-18.7
164,Stacey Augmon,POR,28,203.2,92.98636,USA,1991,1,9,4.7,6
165,Sherman Douglas,MIL,30,185.42,88.45044,USA,1989,2,28,9.7,-3
166,Rodney Rogers,LAC,26,200.66,115.66596,USA,1993,1,9,13.2,-3.5
167,Rod Strickland,WAS,30,190.5,83.91452,USA,1988,1,19,17.2,1.7
168,Robert Werdann,NJN,26,210.82,113.398,USA,1992,2,46,1.5,-14.5
169,Robert Parish,CHI,43,215.9,110.676448,USA,1976,1,8,3.7,14.9
170,Robert Pack,DAL,28,187.96,86.18248,USA,,,,14.3,-8.3
171,Robert Horry,LAL,26,208.28,99.79024,USA,1992,1,11,7.8,2.7
172,Rik Smits,IND,30,223.52,120.20188,USA,1988,1,2,17.1,1.4
173,Ricky Pierce,CHH,37,193.04,97.52228,USA,1982,1,18,11,-1.6
174,Rick Mahorn,DET,38,208.28,117.93392,USA,1980,2,35,2.5,-0.1
175,Rick Fox,BOS,27,,112.944408,Cada,1991,1,24,15.4,-6.9
176,Richard Manning,LAC,27,210.82,111.13004,USA,1993,2,40,2.9,-6.8
177,Ron Harper,CHI,33,198.12,97.975872,USA,1986,1,8,6.3,14
178,Rex Walters,PHI,27,193.04,86.18248,USA,1993,1,16,6.8,-11.1
179,Reggie Williams,NJN,33,201,86,USA,1987,1,4,5.8,-12.8
180,Reggie Slater,TOR,26,200.66,97.52228,USA,,,,7.8,1.5
181,Reggie Miller,IND,31,200.66,83.91452,USA,1987,1,11,21.6,0.9
182,Reggie Jordan,MIN,29,193.04,88.45044,USA,,,,2.1,4.2
183,Reggie Geary,CLE,23,187.96,84.821704,USA,1996,2,56,1.5,7.7
184,Ray Owes,GSW,24,205.74,101.604608,USA,,,,3.1,-8
185,Ray Allen,MIL,21,195.58,92.98636,USA,1996,1,5,13.4,-2
186,Rasheed Wallace,POR,22,210.82,102.0582,USA,1995,1,4,15.1,7.8
187,Randy Livingston,HOU,22,193.04,94.800728,USA,1996,2,42,3.9,0.3
188,Randy Brown,CHI,29,187.96,86.18248,USA,1991,2,31,4.7,10.4
189,Randolph Childress,DET,24,187.96,85.275296,USA,1995,1,19,1.7,-0.9
190,Rex Chapman,PHX,29,193.04,88.45044,USA,1988,1,8,13.8,2.7
191,Jerome Williams,DET,24,205.74,93.439952,USA,1996,1,26,1.5,3
192,Rony Seikaly,ORL,32,210.82,114.758776,USA,1988,1,9,17.3,-1.7
193,Ruben Nembhard,POR,25,190.5,94.347136,USA,,,,4,-0.3
194,Shawnelle Scott,CLE,25,210.82,113.398,USA,1994,2,43,1.3,6.8
195,Shawn Respert,TOR,25,187.96,83.91452,USA,1995,1,8,4.2,-4.1
196,Shawn Kemp,SEA,27,208.28,116.119552,USA,1989,1,17,18.7,8.9
197,Shawn Bradley,DAL,25,228.6,112.490816,USA,1993,1,2,13.2,-5.9
198,Sharone Wright,TOR,24,210.82,117.93392,USA,1994,1,6,6.5,-9.3
199,Shareef Abdur-Rahim,VAN,20,205.74,104.32616,USA,1996,1,3,18.7,-12.3
200,Shaquille O'Neal,LAL,25,215.9,136.0776,USA,1992,1,1,26.2,6.9
201,Shane Heal,MIN,26,182.88,81.64656,USA,,,,1.7,-0.7
202,Shandon Anderson,UTA,23,198.12,94.347136,USA,1996,2,54,5.9,2.5
203,Sedale Threatt,HOU,35,187.96,83.91452,USA,1983,6,139,3.3,-3.5
204,Sean Rooks,LAL,27,208.28,117.93392,USA,1992,2,30,3.8,1.3
205,Roy Rogers,VAN,23,,106.59412,USA,1996,1,22,6.6,-13.6
206,Sean Elliott,SAS,29,203.2,99.79024,USA,1989,1,3,14.9,-5.7
207,Scott Williams,PHI,29,208.28,104.32616,USA,,,,5.8,-4.6
208,Scott Burrell,GSW,26,200.66,102.511792,USA,1993,1,20,5.2,1.4
209,Scott Brooks,NYK,31,180.34,74.84268,USA,,,,1.5,3.8
210,Sasha Danilovic,DAL,27,198.12,90.7184,USA,1992,2,43,12.5,1.5
211,Sarus Marciulionis,DEN,33,195.58,90.7184,USA,1987,6,127,6.8,-7.6
212,Samaki Walker,DAL,21,205.74,108.86208,USA,1996,1,9,4.9,-12.6
213,Sam Perkins,SEA,36,205.74,115.66596,USA,1984,1,4,11,10.6
214,Sam Mitchell,MIN,33,200.66,97.52228,USA,1985,3,54,9.3,-4.9
215,Sam Mack,HOU,27,200.66,99.79024,USA,,,,5.6,-1.7
216,Sam Cassell,NJN,27,190.5,83.91452,USA,1993,1,24,15.9,-1.7
217,Rumeal Robinson,POR,30,187.96,88.45044,USA,1990,1,10,3.3,4.5
218,Scottie Pippen,CHI,31,200.66,103.418976,USA,1987,1,5,20.2,13.5
219,Jerome Kersey,LAL,35,200.66,108.86208,USA,1984,2,46,6.8,4.1
220,Pete Chilcutt,VAN,28,208.28,108.86208,USA,1991,1,27,3.4,-16.2
221,Jermaine O'Neal,POR,18,210.82,102.511792,USA,1996,1,17,4.1,1.3
222,Chris Webber,WAS,24,208.28,111.13004,USA,1993,1,1,20.1,3.4
223,Chris Robinson,VAN,23,195.58,90.7184,USA,1996,2,51,4.6,-11.4
224,Chris Mullin,GSW,33,200.66,97.52228,USA,1985,1,7,14.5,-4.9
225,Chris Morris,UTA,31,203.2,99.79024,USA,1988,1,4,4.3,-7.3
226,Chris Mills,CLE,27,200.66,97.975872,USA,1993,1,22,13.4,4.5
227,Chris Jent,NYK,27,200.66,99.79024,USA,,,,2,-29.8
228,Chris Gatling,NJN,29,208.28,104.32616,USA,1991,1,16,19,-4.1
229,Chris Dudley,POR,32,210.82,108.86208,USA,1987,4,75,3.9,-0.2
230,Chris Childs,NYK,29,190.5,88.45044,USA,,,,9.3,5.2
231,Chris Carr,MIN,23,198.12,99.79024,USA,1995,2,56,6.1,3.8
232,Cherokee Parks,MIN,24,210.82,108.86208,USA,1995,1,12,3.3,-0.6
233,Charlie Ward,NYK,26,187.96,86.18248,USA,1994,1,26,5.2,4
234,Charles Smith,SAS,31,208.28,110.676448,USA,1988,1,3,4.6,-4.9
235,Charles Oakley,NYK,33,,111.13004,USA,1985,1,9,10.8,3.4
236,Charles Jones,HOU,40,205.74,97.52228,USA,1979,8,165,0.3,2.6
237,Charles Barkley,HOU,34,198.12,114.305184,USA,1984,1,5,19.2,7.5
238,Cedric Ceballos,PHX,27,200.66,102.0582,USA,1990,2,48,14.6,4.1
239,Carlos Rogers,TOR,26,210.82,99.79024,USA,1994,1,11,9.8,-5.7
240,Carl Thomas,CLE,27,193.04,79.3786,USA,,,,1.1,-8.9
241,Carl Herrera,SAS,30,205.74,102.0582,USA,1990,2,30,8,-9.7
242,Calbert Cheaney,WAS,25,200.66,97.52228,USA,1993,1,6,10.6,2
243,Byron Scott,LAL,36,193.04,92.98636,USA,1983,1,4,6.7,6.7
244,Bryon Russell,UTA,26,200.66,102.0582,USA,1993,2,45,10.8,13.5
245,Chris Whitney,WAS,25,182.88,77.11064,USA,1993,2,47,5.2,2
246,Christian Laettner,ATL,27,210.82,111.13004,USA,1992,1,3,18.1,11
247,Chucky Brown,MIL,29,203.2,97.52228,USA,1989,2,43,2.9,-5.9
248,Clar. Weatherspoon,PHI,26,200.66,108.86208,USA,1992,1,9,12.2,-8.3
249,David Wingate,SEA,33,195.58,83.91452,USA,1986,2,44,3.6,2.8
250,David Wesley,BOS,26,185.42,89.811216,USA,,,,16.8,-7.4
251,David Vaughn,ORL,24,205.74,108.86208,USA,1995,1,25,2.3,-7.5
252,David Robinson,SAS,31,215.9,106.59412,USA,1987,1,1,17.7,9.6
253,Darvin Ham,IND,23,200.66,99.79024,USA,,,,2.3,-2
254,Darrin Hancock,ATL,25,200.66,92.98636,USA,1994,2,38,1.8,-2.6
255,Darrick Martin,LAC,26,180.34,77.11064,USA,,,,10.9,-4.5
256,Darrell Armstrong,ORL,29,185.42,81.64656,USA,,,,6.1,0.3
257,Danny Manning,PHX,31,208.28,106.140528,USA,1988,1,1,13.5,3.1
258,Danny Ferry,CLE,30,208.28,106.59412,USA,1989,1,2,10.6,2.3
259,Da Barros,BOS,30,180.34,73.935496,USA,1989,1,16,12.5,-10
260,Bryant Stith,DEN,26,,94.347136,USA,1992,1,13,14.9,-5.6
261,Dan Schayes,ORL,38,210.82,117.93392,USA,1981,1,13,3,-1.5
262,Damon Stoudamire,TOR,23,177.8,77.564232,USA,1995,1,7,20.2,-3.7
263,Dale Ellis,DEN,36,200.66,97.52228,USA,1983,1,9,16.6,-9.1
264,Dale Davis,IND,28,210.82,104.32616,USA,1991,1,13,10.4,-0.2
265,Cuonzo Martin,MIL,25,195.58,96.615096,USA,1995,2,57,0,-12.1
266,Craig Ehlo,SEA,35,198.12,81.64656,USA,1983,3,48,3.5,5.7
267,Cory Alexander,SAS,24,185.42,86.18248,USA,1995,1,29,7.2,-8.8
268,Corliss Williamson,SAC,23,200.66,111.13004,USA,1995,1,13,11.6,-4.2
269,Corie Blount,LAL,28,208.28,109.769264,USA,1993,1,25,4.2,2
270,Clyde Drexler,HOU,35,200.66,100.697424,USA,1983,1,14,18,7.5
271,Clifford Rozier,TOR,24,210.82,104.32616,USA,1994,1,16,4.5,-6.3
272,Clifford Robinson,POR,30,208.28,102.0582,USA,1989,2,36,15.1,4.4
273,Dan Majerle,MIA,31,198.12,99.79024,USA,1988,1,14,10.8,4.7
274,Bryant Reeves,VAN,24,213.36,124.7378,USA,1995,1,6,16.2,-10.6
275,Bruce Bowen,MIA,26,200.66,90.7184,USA,,,,0,300
276,Brooks Thompson,DEN,26,193.04,87.543256,USA,1994,1,27,6.6,-6.2
277,Antonio Davis,IND,28,205.74,104.32616,USA,1990,2,45,10.5,3.4
278,Antoine Walker,BOS,20,205.74,101.604608,USA,1996,1,6,17.5,-9.3
279,Antoine Carr,UTA,35,205.74,115.66596,USA,1983,1,8,7.4,2.2
280,Anthony Peeler,VAN,27,193.04,94.347136,USA,1992,1,15,14.5,-10.4
281,Anthony Miller,ATL,25,205.74,115.66596,USA,1994,2,39,0,-50
282,Anthony Mason,CHH,30,203.2,113.398,USA,1988,3,53,16.2,2.6
283,Anthony Goldwire,DEN,25,187.96,82.553744,USA,1994,2,52,6.5,-4.1
284,Anfernee Hardaway,ORL,25,200.66,97.52228,USA,1993,1,3,20.5,4.6
285,Andrew Lang,MIL,31,210.82,124.7378,USA,1988,2,28,5.3,-1.2
286,Andrew DeClercq,GSW,24,208.28,104.32616,USA,1995,2,34,5.3,-5.6
287,Amal McCaskill,ORL,23,210.82,106.59412,USA,1996,2,49,1.6,-15.7
288,Antonio Harvey,SEA,26,210.82,102.0582,USA,,,,2.5,1.4
289,Alton Lister,BOS,38,213.36,111.13004,USA,1981,1,21,1.6,-13.3
290,Allen Iverson,PHI,22,,74.84268,USA,1996,1,1,23.5,-7
291,Allan Houston,NYK,26,198.12,90.7184,USA,1993,1,11,14.8,2.9
292,Aleksandar Djordjevic,POR,29,187.96,89.811216,USA,,,,3.1,4.8
293,Alan Henderson,ATL,24,205.74,106.59412,USA,1995,1,16,6.6,-9.7
294,Adrian Caldwell,PHI,30,203.2,120.20188,USA,,,,2.2,-6.2
295,Adam Keefe,UTA,27,205.74,109.315672,USA,1992,1,10,3.8,6.7
296,Acie Earl,MIL,27,210.82,108.86208,USA,1993,1,19,4,-6.4
297,Aaron Williams,VAN,25,205.74,102.0582,USA,,,,6.2,-8.3
298,Aaron McKie,DET,24,195.58,94.800728,USA,1994,1,17,5.2,5.2
299,Jerome Allen,DEN,24,193.04,83.460928,USA,1995,2,49,3,-3.7
300,A.C. Green,DAL,33,205.74,102.0582,USA,1985,1,23,7.2,-8
301,Alonzo Mourning,MIA,27,208.28,118.387512,USA,1992,1,2,19.8,10.5
302,David Wood,MIL,32,205.74,104.32616,USA,,,,1.2,3.9
303,Antonio Lang,CLE,25,203.2,104.32616,USA,1994,2,29,2.7,0.7
304,Armen Gilliam,MIL,33,,117.93392,USA,1987,1,2,8.6,-3.7
305,Brian Shaw,ORL,31,198.12,90.7184,USA,1988,1,24,7.2,-10.5
306,Brian Grant,SAC,25,205.74,115.212368,USA,1994,1,8,10.5,-7.7
307,Brian Evans,ORL,23,203.2,99.79024,USA,1996,1,27,1.4,-12.5
308,Brett Szabo,BOS,29,210.82,104.32616,USA,,,,2.2,-11.1
309,Brent Scott,IND,26,208.28,113.398,USA,,,,1.2,4.9
310,Brent Price,HOU,28,185.42,83.91452,USA,1992,2,32,5,2.9
311,Brent Barry,LAC,25,198.12,88.45044,USA,1995,1,15,7.5,4.1
312,Brad Lohaus,TOR,32,210.82,104.32616,USA,1987,2,45,1.7,-38.4
313,Bobby Phills,CLE,27,195.58,99.79024,USA,1991,2,45,12.6,3.3
314,Bobby Hurley,SAC,26,182.88,74.84268,USA,1993,1,7,2.9,-2.6
315,Bob Sura,CLE,24,195.58,90.7184,USA,1995,1,17,9.2,1
316,Antonio McDyess,DEN,22,205.74,99.79024,USA,1995,1,2,18.3,-7.5
317,Bo Outlaw,LAC,26,203.2,95.25432,USA,,,,7.6,4
318,Bison Dele,CHI,28,210.82,117.93392,USA,1991,1,10,7,0.9
319,Bimbo Coles,GSW,29,187.96,82.553744,USA,1990,2,40,6.1,-6.3
320,Billy Owens,SAC,28,205.74,102.0582,USA,1991,1,3,11,-3
321,Bill Wennington,CHI,34,213.36,111.13004,USA,1985,1,16,4.6,7.7
322,Benoit Benjamin,TOR,32,213.36,113.398,USA,1985,1,3,3.3,-9.1
323,Ben Wallace,WAS,22,205.74,108.86208,USA,,,,1.1,-3.5
324,Ben Davis,PHX,24,205.74,108.86208,USA,1996,2,43,1.5,-0.4
325,B.J. Armstrong,GSW,29,187.96,79.3786,USA,1989,1,18,7.9,-6.5
